"","GSM391130","GSM391131","GSM391132","GSM391133","GSM391134","GSM391135","GSM391136","GSM391137","GSM391138","GSM391139","GSM391140","GSM391141","GSM391142","GSM391143","GSM391144","GSM391145","GSM391146","GSM391147","GSM391148","GSM391149","GSM391150","GSM391151","GSM391152","GSM391153","GSM391154","GSM391155","GSM391156","GSM391157","GSM391158","GSM391159","GSM391160","GSM391161"
"Activated B cell",0.574133104287165,0.350619140701455,0.205360499756833,0.167241928407208,0.557300250002261,0.53826894128045,0.293690402113197,0.405449716916642,0.4755674642812,0.515344849624334,0.434575951713957,0.538520159618715,0.834528540632172,0.271837244722912,0.389786624739033,0.93843118019134,0.506695923368876,0.339620329225516,0.674401241969119,0.0836916404492229,0.91667382773403,0.324967020745268,1,0.404301707999577,0.56338964246354,1,0.394218328686599,0.435196236103478,0.499279918849643,0.41459143901275,0.355492632330934,0.359304810949374
"Activated CD4 T cell",0.375271034685418,0.648606018620073,0.728212015803987,0.222481233590019,0.402646994613329,0,0.188892196281359,0.32761333538409,0.367815285705373,0.214236492645532,0.488475603528435,0.188453285582049,1,0.158336258668868,0.614276227452841,0.699808530202584,0.863196745445169,0.815695751402296,0.624989870823977,0.515681176455923,0.782682624914759,0.358118042206124,0.561056246065622,0.812358239411467,0.357683884279984,0.402791768288656,0.486676468267884,0.372236638934287,0.780972327642756,0.58094798314508,0.522717492770435,0.494400742836332
"Activated CD8 T cell",0.667869785857583,0.48597788058539,0.690737479644851,0.231630267347229,0.438726768334729,0.283094252523208,0.263842371233441,0.514877484196916,0.386545595850167,0.191040246419125,0.764176614004726,0.0468762314138976,1,0.346349744030517,0.565175185100899,0.827934522021541,0.673993169998924,0.583776046430864,0.623636042416058,0.363206091581489,0.724797492836425,0.0127837565513788,0.661014601805599,0.788304547479155,0.313195608418714,0.699638355263219,0.209808848081605,0.242092289902746,0.699710676425986,0.362869791519182,0.681645320755662,0.531211754839944
"Activated dendritic cell",0.516320668740362,0.471487629524812,0.472593247795143,0.0803249614306675,0.20170867214547,0.0933464156079561,0.633912894968651,0.453075710664543,0.406460732378167,0.616304938001429,0.42964073957084,0.23661502620073,0.60548555537441,0.622760224753694,0.588802192657263,0.341743683929285,0.76291950392602,0.318718144990204,0.774816318890405,0,0.376692279329776,0.463770399159545,0.80117929623249,0.570874315218311,1,0.629645173577151,0.416861075837706,0.74927256840256,0.469898127617635,0.65893525571696,0.381189783796063,0.698825215972145
"CD56bright natural killer cell",0.533447498554723,0.373734417466921,0.500772625524512,0.312172337750065,0.527816771257569,0,0.385239053962597,0.736497699741606,0.695243428007048,0.646940742248488,0.664450324066071,0,0.658460802645503,0.703519485505776,0.273071930752835,0.385550046001494,0.540803209499849,0.634712536130795,0.381939122202107,0.13964748133801,0.741051502698023,0.30909950923759,0.877226490969964,0.975275166944486,0.764107530738042,0.539783732126633,0.560903693968729,0.381784979550505,0.433936321473624,0.322233762492379,0.818351402766561,0.392544753308606
"Central memory CD4 T cell",0.555978718087343,0.467312883263074,0.623922285525412,0.0514810257427498,0.122493506038486,0.119627272874158,0.580886681761962,0.492677964503186,0.0688694956667843,0.42798962935518,0.679659933739212,0.169037647785229,1,0.478645033130887,0.643979510954213,0.723687319511635,0.77559075039486,0.430883440286131,0.503843065445422,0.0892269416460383,0.677431097267116,0.345753579869467,0.76668605188332,0.641710936121784,0.583967942291306,0.83610550502634,0.265362720470984,0.4926828986787,0.798123834721539,0.671731788844232,0.393023853103005,0.459196115577204
"Central memory CD8 T cell",0.420940882335961,0.779577794907028,0.435029263662886,0.327963176374516,0.75174331781065,0,0.442732105981594,0.534016183778355,0.595696410554588,0.0907997999160698,0.752852571821635,0.22530920406391,0.648988104493467,0.560439862229793,0.651055707066201,0.308910780841575,0.81887168471795,0.610739993775161,0.771120466320744,0.0527304738184153,0.758071455674976,0.235167732010558,0.599942418985948,0.518939841323979,0.666250188917314,0.280191712620111,0.353696106705635,0.59819302384537,0.628529580658599,0.791328338003368,0.31816752619098,0.702291666773901
"Effector memeory CD4 T cell",0.27010243420438,0.809343657436617,0.906089233356757,0.301180009182584,0.313475838409082,0.425967969395657,0.615069091739442,0.211061250712324,0.194032287591261,0.221015522947109,0.850023554245376,0,0.868909910452773,0.776947630422165,0.372089132695155,0.668380534644539,0.542725538032305,0.667659323080017,0.271878383294728,0.914283228378039,0.534290265659644,0.428107030319061,0.360400550823442,0.623953507844999,0.54557698758826,0.243495979849631,0.644554793558501,0.511471936772229,0.468583504759296,0.79831627507698,0.546749476533668,0.117844032834535
"Effector memeory CD8 T cell",0.75814923438801,0.62437699263693,0.367291202026066,0.246905850282626,0.62125490001135,0,0.578730932541364,0.462281539897906,0.616975782947796,0.159463225224414,0.616140220700976,0.356336122798946,0.992244280411001,0.325194650448474,0.791426860575699,0.865335338607455,0.648060474951132,0.53366961720966,0.338672024077307,0.050599490220538,0.78352872183378,0.703005748468807,0.651038677139316,0.536147499184073,0.490524796677007,0.627432913162935,0.259539234544349,0.286268769405068,0.584839894869209,0.685764334842271,0.400073472284661,0.20109401265013
"Gamma delta T cell",0.292596172764096,0.45193368109008,0.660418429032264,0.265289070216227,0.695698175606515,0.247613201677792,0.435507168727207,0.441633196209888,0.469810719788301,0.369638972822309,0.635365513560884,0.0356879535560602,0.547496343181196,0.890408551183953,0.699570597404276,0.272137685811998,0.844818100769096,0.582110058551875,0.208963013476327,0.191895956821324,0.461777166141198,0.337125957986826,0.535491644425823,0.478915306861456,0.932321066843003,0.312472518304164,0.242583268782532,1,0.595625229148411,1,0.505198788493499,0.321725376445644
"Immature  B cell",0.0871819060697141,0.360314327125298,0.360068775939976,0.711744923286353,0.320120001140317,0.107437460086442,0.350274204777275,0.345931764183659,0.664550277240436,0.34184349775885,0.308036883235414,0.385186766295753,0.598032198657456,0.324181076850924,0.422460259628578,0.984321025240727,0.614388305198416,0.708281788705081,0.173844880370391,0.846408689317999,0.952692997272835,0.467810600131302,0.551890168585207,0.333889633690696,0.361642914837053,0.341586936957135,0.811621415497426,0.887318558089636,0.825658028296602,0.753633652861306,0.491588327573609,0.206057755098134
"Memory B cell",0.390191288494995,0.580556125373561,0.809910766688338,0.496104478896865,0.55965027669198,0.93675363429477,0.670442742548771,0.171681974579853,0.0352961878443153,0.59647661181423,0.237863968744929,0.83921240671112,0.409580158014636,0.529291678117203,0.700492222251474,0.526508422300471,0.530201318953533,0.704988948290199,0.101133828667352,0.610293557449015,0.349812706475548,0.772328682506688,0.430129241272508,0.550801802681226,0.26200917438062,0,0.55605577550519,0.427709473745477,0.256613750481206,0.764628062469893,0.877065825944462,0.426585147616112
"Natural killer cell",0.551414220901984,0.455462433314261,0.406393892654581,0.179523520829636,0,0.205124115222279,0.249129774494641,0.614425643387368,0.656967063043393,0.970012907416416,0.773666773829041,0.911520802887231,0.752083044122534,0.530420130220019,0.522555633960852,0.458287702005371,0.430957635150575,0.399815418964755,0.49871382570103,0.176846654550498,0.270027289673255,0.748713673960835,0.742250666901981,0.291825636475525,0.607835722466138,0.682606213142803,0.0692253899830019,0.440223305590025,0.787211467250871,0.545503824590125,0.290352630278869,0.825929061062591
"Natural killer T cell",0.409897349125342,0.785549869722249,0.362867421251992,0.58125676449809,0.800454611636406,0.88776880091644,0.442953694329834,0.536517847937523,0.514652617758456,0.711122493305192,0.473544822824224,0.478898719948491,0.647888298431815,0.453085393279153,0.566957864802439,0.367042658031868,0.834717852168575,0.390793316412747,0.832391788033782,0.379743037497255,0.776572557235534,0.526757741199336,0.520232960733491,0.42040281905943,0.497622255509014,0.751558787716658,0,0,0.303075806387764,0.371372524663499,0.169693052257386,0.561526574400377
"Type 1 T helper cell",0.491866600781893,0.514602055701805,0.489369577017998,0.162494866863904,0.390508133950384,0.162248812888283,0.555094476735997,0.194295738020237,0.310094599894193,0.280865567311607,0.759476377969606,0,0.888222952486908,0.369567998031484,0.765535567550411,0.571235451145357,0.882610721009469,0.381871614760509,0.681624915358166,0.479002481763195,0.758904326796886,0.140267509340356,0.673846771441171,0.80803034999643,0.612103319273311,0.51652313462448,0.121932603296645,0.316358506703139,0.769302315823813,0.873178137274459,0.574871359167631,0.53554907645502
"Type 17 T helper cell",0.522277769003676,0.192217229147906,0.441835315966139,0.487368403124426,0.778261603345064,0.836723552189418,0.71803243688233,0.29046658733906,0.118932009423448,0.890982960351902,0.269397770783646,0.607515858876093,0.56223250493785,0.0940575683991154,0.489804345007901,0.396804743731114,0.554163157854165,0.491253159024663,0.392901083192121,0.0271561659600836,0.767901008496611,0.858657318878242,0.427755593836822,1,0.594929304230194,0.52829417287049,0.25082338536228,0.345846114860481,0.323756646530251,0.471605388521658,0.835086134404199,0.372232184018145
"CD56dim natural killer cell",0.751770291074062,0.785473406113086,0.174559565182519,0.984582080137917,0.676318226347301,0.979998261002244,0.77771227814763,0.597349854474943,0.350269498465239,0.224109333086384,0.124850065757454,0.631369822976249,0.14441261882657,0.690537142182435,0.472273149962018,0.324997422076627,0.44168886397506,0.44175089488036,0.916617596794929,0.514610258603928,0.643088670933646,0.573856799864882,0.639537992116098,0.352956890205341,0.388255604507301,0.32113366172711,0.176919976819167,0.2665154028265,0.353599034648084,0.265518949018333,0.256036273179817,0.75733011408676
"Eosinophil",0.59274306236605,0.70603449856283,0.184725033310578,0.474360661866017,0.749534384087523,0.741843318065272,0.403923430126763,0.583671601664344,0.84324059394521,0.605443791348874,0,0.862921419997774,0.574830651611819,0.219001967963711,0.760419269108702,0.552426117969626,0.867312351405649,0.725561801962724,0.428186003444723,0.45109565585978,0.587040968349527,0.763165243546113,0.716297739070545,0.662767634440409,0.425259912102276,0.332256428828573,0.226297734070117,0.0449460112780119,0.2036883904836,0.270601445105505,0.234787990968618,0.258021603985385
