"","GSM904986","GSM904989","GSM904991","GSM904994","GSM904996","GSM904999","GSM905002","GSM905004","GSM905007","GSM905009","GSM905012","GSM905014","GSM905017","GSM905020","GSM905022","GSM905023","GSM905024","GSM905026","GSM905027","GSM905029","GSM905031","GSM905032","GSM905034","GSM905036","GSM905038","GSM905040","GSM905041","GSM905043","GSM905044"
"Activated B cell",0.290848209649657,0.507426057096599,0.784256156334674,0.363323112194229,0.377752467518693,0.130411284059461,0.558174376448407,0.182217592823143,0.415192405930399,0.715560787077472,0.101911778167738,0.916931808174956,0.878465863765401,0.149794694429612,0.355128418746538,0.553964115957737,0.859278285728231,0.495163497800642,0.328014519105945,0.911458152613136,0.324872180814507,0.56263374448226,0.671227737059655,0.6454406269224,0.917578447522458,0.457617028073064,0.290350298178883,0.454591033778587,0.300415319545518
"Activated CD4 T cell",0.311391574298874,0.452713343616561,0.872113822973968,0.322438219892114,0.251297603380899,0.304541096211889,0.659431008737156,0,0.463022819688869,0.622823917819443,0.0421538314122636,0.755706789652246,0.512191518668039,0.293359687782643,0.462714227652769,0.406156663949023,1,0.427158091713963,0.39324699054327,0.814954439257832,0.196045534209296,0.382710175979325,0.695504597976723,0.625253590056911,0.698226248378428,0.45618813542118,0.674335180241922,0.864590518642584,0.488458973039574
"Activated CD8 T cell",0.248947253720042,0.470308984994094,0.588123062480333,0.397985247251113,0.38026659195767,0.384314869550406,0.532086492070716,0.0911869185649341,0.445548043530299,0.736493678643734,0,0.625640016422135,0.343662854778213,0.211707040766923,0.436018349811282,0.668741684074705,0.989219184093247,0.498934750618707,0.319210287309997,1,0.340017896545082,0.470421698544509,0.754660157888897,0.708598474463208,0.798856853195596,0.315276371704975,0.560276166905943,0.837193371340434,0.309596898072047
"Activated dendritic cell",0.128822917948548,0.371494228412394,0.755394543700576,0.301004260224514,0.156372594976987,0.511673604000173,0.317528736677744,0.497922269249181,0.443573871556306,0.368216671197086,0.0284837806234478,0.415555058268005,0.78485436626099,0.240633943532826,0.258903906613941,0.588190573954471,1,0.555688980106909,0.427134294682873,0.587420242873935,0.410784283561157,0.638001065043263,0.846803492235886,0.939570833814639,0.64408999500185,0.382006975284361,0.404663702642753,0.804533036455582,0.577512763756292
"CD56bright natural killer cell",0.447202124516085,0.847104169911527,0.499383751562806,0.145815210415921,0.239503341366575,0.792287326966388,0.42210483049068,0.745978193470473,0.502368282066083,0.673785772652554,0.198229273523477,0.526404635032671,0.785009737788204,0.466182263915148,0.0767731248712739,0.442138482121194,0.709074455331412,0.619862309348645,0.562678066947958,0.507279963440969,0.308481854003493,0.37213543252963,0.530422929048477,0.313152800746353,0.920021703511302,0,0.348730365489424,0.918613682192998,0.664229975836489
"Central memory CD4 T cell",0.614071052211224,0.176284513600147,0.564548415269083,0.518111970911995,0.343603161755789,0.515455928303018,0.557071127586934,0,0.631014251167949,0.433380300236196,0,0.0898619295967671,0.67811316151328,0.356669433218312,0.525947503938614,0.584963170729729,0.730899052038566,0.439075106160594,0.876177201970368,0.81725733320947,0.55488780639804,0.504529074921857,0.449356521003851,0.565652966271903,0.68500882844824,0.36894267963438,0.700254566384851,0.70991031149645,0.784764712833723
"Central memory CD8 T cell",0.138271181129541,0.369685822753007,0.863433259311596,0.648532940076708,0.277739429755031,0.437800082517121,0.411763360575603,0.173300278810955,0.499853982668934,0.246251585382691,0.147017601809727,0.3247794752247,0.554083618399356,0.186974354855387,0.0875658294188972,0.445737166918335,0.694344108614026,0.738603677941552,0.625347965104132,0.490331504965935,0.33004559340637,0.57529337669676,1,0.627716659834384,0.51506487298755,0.744235654161107,0.642482088806376,0.870802423498134,0.742327164325112
"Effector memeory CD4 T cell",0.309832216598693,0.655505056557152,0.865729253781457,0.244461912948961,0.666063831945819,0.60639509412938,0.688809325610445,0.462696851110578,1,0.424843161928047,0.406414196380801,0.910191180848016,0.386563361584662,0.601492424978655,0.549174419346476,0.472605198437528,0.53362044891091,0.288909878398915,0.167994988013389,0.621040118873475,0.279592454203266,0.33162014962804,0,0.531574325360323,0.223656275910161,0.676649649813259,0.870371699222783,0.363042592203639,0.277013028749305
"Effector memeory CD8 T cell",0.128239525150694,0.182057110811177,0.50287356670037,0.496638645084057,0.479214132837251,0.447539254617606,0.640282713631296,0,0.553063361722319,0.682554265889201,0,0.569481315411153,0.611777789968426,0.228111183057113,0.594092382123716,0.442577184891845,0.929859875531107,0.652423926180735,0.608110850838999,0.903282281637507,0.313155803170385,0.600544636800753,0.194278486644717,0.564342111485959,0.700974968525125,0.554722382228413,0.709645942918358,0.837535273832719,0.484649281445769
"Gamma delta T cell",0.48957236105483,0.283593155709362,0.642800838479593,0.312918388756395,0.489923544158561,0,0.567922745674678,0,0.664378253036526,0.430923150609471,0.485883665423888,0.605668828406453,0.259485328897507,0.210410179423777,0.423794291707524,0.436261217172141,1,0.676199330458228,0.370168388005668,0.4049511926127,0.417860310950107,0.605416731565091,0.703435599245492,0.662373307579045,0.904477269819444,0.335901355283669,0.734508030904213,0.701570318046805,0.66959456771681
"Immature  B cell",0.283457814630268,0.599018063808359,0.499298322736901,0.790808095223361,0.705382369214314,0.603758348548401,0.498514314139082,0.237291348659984,0.409464397307568,0.607980777486934,0,0.724422494015636,0.444970338166205,0.31660170988496,0.578811331400731,0.246889187437304,0.518973444843819,0.784997349068906,0.247250405880578,1,0.51558922892023,0.918684745587766,0.191093875705093,0.536797969252256,0.557795356178565,0.134071882609994,0.618745870306072,0.756300270989996,0.161382364568008
"Memory B cell",0.435323688738109,0.318912323342014,0.597423815841324,0.73953766994305,0.832950827482184,0.395805430644353,1,0.480990340620991,0.526787904542872,0.578219216946605,0.82765218589678,0.839765064048698,0.721191670876621,0.783494545861723,0.277832445678229,0.505726636797658,0.374538349546003,0.2205275984127,0.284820511763069,0.524009351712814,0.0784011475644052,0.660648459989965,0.317207246406113,0.25965217793027,0.575617597840047,0.264462591336701,0.653137485815161,0.0269826721865499,0.316726022563747
"Natural killer cell",0.313968072443043,0.713411985038998,0.885030216738641,0.545679670661275,0.508757933738351,0.328377142296721,0.788262219316396,0,0.412266378259723,0.583206671205308,0.0199947296980838,0.648514245820461,0.499329389207397,0.434155904155378,0.516777171518221,0.272535273846928,1,0.535698051140819,0.534364013085716,0.852679023160165,0.204493222284518,0.513242738563731,0.74399362826607,0.476222056720231,0.64748274211354,0.309223852231241,0.498974343051973,0.318218974432043,0.479130940990891
"Natural killer T cell",0.293134470705478,0.424062318925478,0.71668744112351,0.346222406535259,0.190575231643776,0,0.533615023026279,0.266399105581815,0.573412055497367,0.346896700068916,0.0914089012592922,0.629591342398843,0.457016299525035,0.197731127864027,0.410040735444333,0.402732772457734,0.95488789126383,0.756881463731811,0.409357786800723,0.666464056375261,0.264374120203431,0.711652537627763,0.560013235090306,0.805025836762773,0.851821275837268,0.474824132314855,0.796799711789836,0.826563110827321,0.607168268892778
"Type 1 T helper cell",0.178903501175745,0.415854745544331,0.979921426424265,0.427601240905869,0.418593966270702,0.372652171093234,0.807413390509688,0.1965568181908,0.571044138434374,0.488982352132104,0.1009585360367,0.686742801321278,0.586856610066725,0.0492552614609109,0.40611081201404,0.507275944656271,1,0.528953986854568,0.396938904621532,0.834184661887003,0.252174699670763,0.451241683869506,0.579456029149843,0.68014403509825,0.821627305807681,0.226406888522243,0.610741054039609,0.636319854292965,0.256300812012017
"Type 17 T helper cell",0.477888822089805,0.456741518824785,0.807913171880732,0.637837685169008,0.674274850374152,0.0975683681368114,0.652692413777943,0.511969969922826,0.786526502517609,0.823652812824643,0.597716058730102,0.856774471461253,0.39084680667387,0.830475704029605,0.388730685861227,0.6961644907798,0.181223894855393,0.462942996295486,0.404953144339317,0.589225057456237,0.491292230556618,0.495890779693962,0.034259085201421,0.433757519879447,0.695673035899942,0.143943978432287,0.494988677941687,0,0.528357010413299
"CD56dim natural killer cell",1,0.387041822784043,0.27057031320049,0.585442746200679,0.829447313972591,0.354483410719462,0.545809107543314,0.615298674799264,0.342049595996693,0.321483305104655,0.534800463562548,0.18873634051771,0.480581799495797,0.802529878461823,0.539402362766038,0.32855892587459,0.428511002983692,0.630795089223144,0.469714566254253,0.356868331150971,0.504146466130634,0.557924625443472,1,0.200264913384887,0.492552769373008,0,0.40038926055236,0.386950594809564,0.766932629706059
"Eosinophil",0.712185394571959,0.326057011823782,0.472341222014395,0.579470655274628,0.929202904391305,0.548579876834839,0.800978325721668,0.028683036015599,0.371249301453628,0.398877468024206,0.306382261582747,0.561081709756219,1,0.674351275598368,0.534596785902001,0.335410905004565,0.382757399941825,0.490339693950925,0.630518757235377,0.435598690006282,0.302407977660561,0.274558189241436,0.276018251252391,0.52369116410227,0.650764906116532,0.115967529036217,0.39094603265999,0.407675377439635,0.759551992139216
"Immature dendritic cell",0.626061976087081,0.733638459689904,0.289191201089252,0.69315780971436,0.690987946918414,0.900608170141604,0.675687723474143,0.776383223891976,0.54731005402825,0.496489851156586,0.490170359716715,0.442778594011151,0.970406323665127,0.66054681147643,0.273238031342563,0.594321901462342,0.490267084460725,0.634445156696018,0.461807509451692,0.487388339030111,0.417766205841232,0.217611086494,0.207733040181537,0.333317613198598,0.582944051635159,0,0.442970213993674,0,0.5736658675845
"Macrophage",0.184004259665239,0.219590590088238,0.869891115485215,0.31472616264922,0.470749721450738,0.387490497544777,0.597353130803477,0,0.568114246211445,0.326370632129695,0.12577078558273,0.692231905476631,0.863257273694275,0.283993974974291,0.378805651337213,0.480257250888844,0.823722395349051,0.581642094222181,0.669418046741146,0.439014933950442,0.414151876883817,0.839147510795863,0.695218480481492,0.453280962950845,0.701238327197522,0.599199011246507,0.418324002393954,0.738748882815731,0.600029369010964
"Mast cell",0.405456065676804,0.144946679504337,0.594532577572183,0.647282359931353,0.818665492014196,0.456156420606347,1,0.103496979470776,0.294816257715136,0.280743270833952,0.30767593667347,0.639650923932266,1,0.259120142695895,0.303076058312742,0.51084756082683,0.561664967561623,0.755529972433105,0.668342582959739,0.637715562105975,0.492337499792807,0.641992923508041,0.244625103585764,0.451404790145436,0.452787473160571,0.277716560757211,0.402974291427644,0.331489203815225,0.575071368096298
"MDSC",0.272185282840683,0.313678127640363,0.91640308326256,0.732578123844163,0.504884115249605,0.478917466224544,0.716751995454,0.0470932617153716,0.460173383163339,0.490828454055971,0,0.729030639186758,0.536807531225975,0.277648504166216,0.36253111092331,0.349440709526357,0.93245186990002,0.765905570183571,0.59604092011602,0.554422933157343,0.256006651894248,0.582971638464059,0.634013140089476,0.63038732110132,0.714606207653009,0.0488308974413671,0.327419885528719,0.798123407668383,0.51490324076664
"Monocyte",1,0,0.417972940515758,0.509846046159029,0.574380839359785,0.354088503465069,0.681623419197271,0.221752564322279,0.263229887120393,0.327970262898754,0.399992076331545,0.528007715260886,0.492062904496536,0.156659683114025,0.321858692327209,0.355228592043767,0.548537766793622,1,0.896594978722224,0.559843814543426,0.413181976370414,0.390298206781084,0.694636129392394,0.29696868347927,0.567361645660721,0.343044688417082,0.523711252214773,0.670200990753806,0.928767100003513
"Neutrophil",0.587530390483977,0.536191538060123,0.710558717213345,0.586619695749245,0.545148717610404,0.665671301884083,0.457939505464469,0.283310254628143,0.493760180483283,0.422385512476619,0.331993980764789,0.443755939246509,0.379760208376568,0.635191215615095,0.722734891758066,0.396385796354473,0.223987384787981,0.876618652189741,0.627742764275305,0.457266346051756,0.853235424573355,0,0.779975604576243,0.363035096204285,0.22153421901575,0.103076455218417,0.371805951161097,0.314028632337551,1
"Plasmacytoid dendritic cell",0.580062758972679,0.219500994787481,0.689201004607577,0.790348261377079,0.554462717585198,0.570215172168208,0.413586081348433,0.623658103602474,0.795847725947758,0.118120697236856,0.214313385357128,0.568147483835165,0.6390708534352,0.110880395166331,0.0771417289811847,0.385856632987194,0.311500714542446,0.804124927083051,0.557270136808607,0.654096028173849,0.152653166052432,0.165237451194902,0.739489849261324,0.687831017690538,0.517633722687489,0.257463551184262,0.988083032692332,0.607997676685292,0.706204728547527
"Regulatory T cell",0.264724153237082,0,0.917381810401279,0.466043731452444,0.567343735044448,0.515657912794804,0.664738326259149,0.123932054100545,0.671683534164649,0.533907836487385,0.121615196697123,0.359490712823054,0.865010156598725,0.163498353161449,0.399264204581663,0.139010304165478,0.811823996224314,0.716135212190872,0.519268954387841,0.527982881973397,0.465089113886234,0.686835421708067,0.453736068132987,0.673617469811983,0.628565602588859,0.354291694556851,0.294901441728943,0.901390231103354,0.709786266099381
"T follicular helper cell",0.150180208907356,0.213362102110221,0.644539091485239,0.672892315549319,0.335306617416617,0.526282758317576,0.551449604470892,0,0.655876168049897,0.273213329175192,0.0931691298114833,0.682366605909543,0.574415049899992,0.385655350731028,0.251263983348855,0.483583179665795,0.908245740096717,0.691778592936601,0.591289430938548,0.880336809976399,0.222439786563828,0.549351641382817,0.198504557529388,0.682580203633121,0.939472753132194,0.471725232527139,0.728810072631144,0.707243525993275,0.440699623283116
"Type 2 T helper cell",0.504768703400656,0.198833407806705,0.687994883673979,0.463605783591515,0.549853351694912,0.55648880056315,0.647381992844694,0,0.635958768053425,0.392859844743884,0.267262668899575,0.63023354500931,0.77581759727462,0.386646605659945,0.599302543495083,0.411523797922485,0.798224044818516,0.354421850635433,0.235152116461739,0.864740462975053,0.142073038887338,0.384625911802671,0.669564761432005,0.459269210619155,0.432972332104153,0.608285202108899,0.945268419408955,0.806451207446481,0.345458532883153
