"","GSM1300062","GSM1300064","GSM1300066","GSM1300068","GSM1300070","GSM1300072","GSM1300074","GSM1300076","GSM1300078","GSM1300080","GSM1300082","GSM1300084","GSM1300086","GSM1300088","GSM1300090","GSM1300092","GSM1300094","GSM1300096","GSM1300098","GSM1300100","GSM1300102","GSM1300104","GSM1300106","GSM1300108","GSM1300110","GSM1300112","GSM1300114","GSM1300116","GSM1300118","GSM1300120","GSM1300122","GSM1300124","GSM1300126","GSM1300128","GSM1300130","GSM1300132","GSM1300134","GSM1300136","GSM1300138","GSM1300141","GSM1300143","GSM1300145","GSM1300147","GSM1300148","GSM1300150","GSM1300152","GSM1300154","GSM1300156","GSM1300158","GSM1300160","GSM1300162","GSM1300164","GSM1300166","GSM1300168","GSM1300170","GSM1300172","GSM1300174","GSM1300176","GSM1300178","GSM1300180","GSM1300182","GSM1300184","GSM1300186","GSM1300188","GSM1300191","GSM1300193","GSM1300195","GSM1300197","GSM1300199","GSM1300201","GSM1300203","GSM1300205"
"Activated B cell",0.247635333045713,0.848694095562378,0.690258076558675,0.525791695648955,0.132236668648835,0.364707718141986,0.487053253629943,0.589025524034445,0.39903949515494,0.433836752278419,0.172322069225746,0.804961482904266,0.516353148721207,0.871509661722922,0.791683575341449,0.516617027197875,0.294803195820209,0.333438015467164,0.354889243886269,0.341099961252308,0.199433749032739,0.36280609694435,0.38681067973292,0.335055176150469,0.10504603403614,0.540295632623178,0.85984596497435,0.592298493344143,0.330224414742313,0.328506574914468,0.348275799981871,0.301933321345626,0.439362832375437,0.546454139116933,0.649370739574129,0.313322236303182,0.466903231679079,0.15742173864512,0.378067002180094,1,0.381806436773323,0.168988329190472,0.377464856475323,0.422752107796208,0.922313539752986,0.409111414505501,0.652458558151845,0.0974392663710378,0.812340527891486,0.146259120798262,0.53891341139991,0.619873120527062,0.477491075125901,0.865235475764432,0.564234078682622,0.661211921318661,0.870748068191534,0.887558335071967,0.336691504270437,0.339318935980695,0.593462376736178,0.757653929608152,1,0.502708813220836,0.574485193287428,0.242894114916516,0.386512503851917,0.817126166638507,0.641637142899069,0.674567790198012,0.286528863636779,0.193965304434154
"Activated CD4 T cell",0.242390843846928,0.631347662450658,0.328544942894206,0.61504760685845,0.45376600654089,0.451577242040094,0.541618352690611,0.486091164032189,0.335235245494569,0.486923159665413,0.0891828381360564,0.749992950761967,0.419570874733933,0.407906846690499,0.915064115074053,0.0172534966984055,0.123555557781638,0.54410655228853,0.278343145801796,0.244110714613169,0.1041163403586,0.372197235355816,0.38450736135284,0.405944685250298,0.324642236773424,0.641503659377044,0.633134819673056,0.641241448242196,0.0405909344650864,0.541116763851773,0.433401511235672,0.101987948295186,0.421572087174825,0.334966540612403,0.512609506766531,0.384368403845757,0.590448960711344,0.395429712857647,0.428885571494792,1,0.474437693095253,0.298077931161748,0.745826699424435,0.767785849822675,0.764832155983883,0.40301579845011,0.867674607099745,0.301878757952686,0.761216258578326,0.154240219753288,0.73183982315361,0.469884854013692,0.684390619715698,0.643982341098339,0.456477393947047,0.831314240535755,0.666299245690471,1,0.22177271723884,0.496860445561031,0.475494769126547,0.589219527182895,0.863753224348087,0.622340813624929,0.591874411182057,0.560450491229476,0.920770531990754,0.863243933493227,0.703796962167724,0.765494758249265,0.36102705455101,0
"Activated CD8 T cell",0.402170984170878,0.823448996412824,0.316995114619779,0.428153451407008,0.235081155509176,0.453981092856377,0.771047032145389,0.618843116051336,0.447931921400285,0.594551669893196,0.202665325531841,0.934448478190343,0.213175493734736,0.323169010476544,0.951307895227411,0.0640156466069519,0.132875722400406,0.61651961691522,0.211157524020773,0.34427934158363,0.169758831979335,0.395507910236731,0.38566194876561,0.378531797155762,0.153642480610852,0.610986071904809,0.530069662654893,0.778038092738854,0.173056248987883,0.453600634570553,0.467438943484076,0.142501389843337,0.344842696679854,0.537953584142645,0.372971474815994,0.242703829400711,0.664507670773618,0.252014056448136,0.431535987918743,0.895942622222444,0.344311473801394,0.176017322202652,0.811969015228981,0.608818033173495,0.840351159165546,0.501383645425556,0.713749917094592,0.162366418068642,0.961205412237033,0.2343347547151,0.812459164075615,0.512928799636254,0.545761844675589,0.836037692454812,0.640621102028747,0.498005668749942,0.589167975577241,1,0.301290653036702,0.476027384768663,0.370562566172881,0.855299906969847,0.811146566019743,0.610270526694551,0.67572978234936,0.556048744075055,0.635083931709564,0.695708184114304,0.675637955477575,0.637597372639105,0.482942010036704,0
"Activated dendritic cell",0.215261426637047,0.415931778875108,0.443573078247114,0.743272352919971,0.600994988492795,0.42882526168785,0.45116032128377,0.519555929680141,0.316503984361952,0.39805418214231,0.266879628922757,0.571122977100949,0.356742630014545,0.32173812890152,0.687305201394642,0,0.223073082958359,0.530975306903132,0.343109366765597,0.406125158552799,0.0899637206263036,0.469037713434756,0.467832290765323,0.101986948656731,0.418434638462107,0.440242767369172,0.514991375884087,0.486492870848433,0.263240140812632,0.735142554344976,0.414423274111529,0.192460412725468,0.268209666550945,0.46430179418632,0.653371446017721,0.410547509420897,0.680230143204398,0.228061097253897,0.50576738200734,1,0.605698959697684,0.292561784628811,0.856687123655174,0.778833482267061,0.719784376756792,0.417915260858068,0.768884763073178,0.376335372718044,0.77957071979737,0.23534739052649,0.649770524571014,0.354773216111484,0.846240679558724,0.641955420903365,0.625675309206981,0.836668507565137,0.555492205533519,0.699873847573028,0.279790936046039,0.34116269371268,0.232699950154957,0.648424850719183,0.949176881257671,0.583778593938855,0.986290448500328,0.696718031158267,0.980463842892371,0.79702218128643,0.646162724107644,0.673770292304034,0.45772837724551,0.0208497892720048
"CD56bright natural killer cell",0.363045060829575,0.702328170977837,0.650990219809657,0.833375079427967,0.327284536089411,0.395946392795927,0.614112940525548,0.488739770148651,0.244794222385636,0.363520828494517,0.226198177849164,0.892491221194233,0.753153846665115,0.823092744795631,0.866433986950092,0,0.397866348069935,0.644959537356476,0.308331982269515,0.200023353567515,0.186555147279151,0.428546474443308,0.450308664314397,0.237450507028027,0.150746210076633,0.40357921135544,0.444110819275587,0.712400986471127,0.219324162156196,0.604183038376282,0.50780026877823,0.349553133686474,0.123136839194083,0.692193295413943,0.357821800209794,0.322405763097163,0.48674620927042,0.36590048854981,0.476085167773731,0.978071996200185,0.553784903650691,0.389851029034553,0.769753167244029,0.611928849554509,0.695766641528577,0.515989776710926,0.457193327535179,0.455767892938459,0.750782201231382,0.00973632904395322,0.658977864991005,0.507941478897004,0.545579322946399,0.458081629765224,0.412535360740697,0.811666573288826,0.339326914102423,0.923489387374875,0.430960966500439,0.447328372290236,0.582088292199272,0.698670065929998,0.838079049931761,0.770326431056343,0.520035165564664,0.743873375080452,0.449559955960958,0.711397410409734,0.758286542838702,0.542420327290482,0.157312107933448,0.460747577671721
"Central memory CD4 T cell",0.387015323520128,0.601532794348051,0.555767521704448,0.52378052559718,0.330582332840158,0.371441919061584,0.498039237035964,0.435103968067844,0.394822221947981,0.28188145951728,0.0998118299681705,0.926935465175499,0.426314862332154,0.412386581123745,0.717919482992267,0,0.226679689534131,0.603021976761281,0.31722959446044,0.369616599163015,0.117838396829936,0.266269440633537,0.441020421172795,0.265110986918825,0.222058361680743,0.360411327809979,0.442715238612359,0.713485141109992,0.39206240553472,0.850881092230528,0.545648345383411,0.427057484834441,0.475772482438888,0.521445912386974,0.402270256783761,0.407439364874562,0.624939685575071,0.476868744994402,0.550053656709153,0.679705958867986,0.570298019923424,0.497909698024253,0.722523854506129,0.744848227682648,0.739194177587525,0.517540821137562,0.698011781827281,0.519561568784811,0.919500659425197,0.429702185963028,0.668501928724414,0.431529077301271,0.467960064264536,0.903070293339273,0.712777921418116,0.288451156988146,0.549963277715452,0.829071791614583,0.366468062279557,0.589559225768224,0.198206001285419,0.715602379207398,0.757741820644208,0.682280018889125,0.77286288863256,0.656406736402117,0.63159653771579,0.695871072544055,0.820637111987874,0.730351881543377,0.377982378960541,0
"Central memory CD8 T cell",0.323344568343593,0.565957784363501,0.605858024374064,0.632325521706525,0.467687827261584,0.160199062030057,0.431697328560551,0.400929053545769,0.160555407927726,0.523441942304381,0.355626732053121,0.389002275079521,0.467524785313472,0.265751555286299,0.590068165296703,0,0.304832594511418,0.474785716176702,0.486030604201771,0.604858124448462,0.189223492734317,0.501238988169076,0.604199646536197,0.231175310844927,0.582555255188691,0.128930113233635,0.683143504197981,0.583285720104416,0.315207462508015,0.952475107652956,0.376496268710358,0.230637971364302,0.436431447850443,0.692778599047494,0.487795987169247,0.535139862503988,0.482669887810046,0.196651405699511,0.564197294925029,0.715196261136252,0.879215099223027,0.19713539207716,0.721081666079484,0.634835843935046,0.941973410561225,0.242188185809409,0.851911534670493,0.417867938504164,0.262680394844052,0.34757451622104,0.541998586569736,0.432495345569799,0.721860196748763,0.400686045829171,0.534898913155423,0.999325304707645,0.882338147238852,0.740849615412095,0.288930482231745,0.441645628678801,0.304289318210515,0.558591228709326,0.651646696504784,0.469612198643926,0.52563261567379,0.764361963315978,0.974838583737059,0.889340125700032,0.732910956680807,0.871009583283952,0.467034485067443,0.0129570325567366
"Effector memeory CD4 T cell",0.426229690560403,0.627398015945654,0.536538209170468,0.460831343691392,0,0.524338872291363,0.582462931798315,0.466374351880393,0.473334815912163,0.34638756696951,0.179663697926367,0.414718888764671,0.672939775454123,0.252623301176604,0.854346505278769,0.585097867348069,0.318971693051269,0.543365984975508,0.562663833686037,0.415466603116011,0.479297944204199,0.823883865088821,0.396281278654429,0.595400940092184,0.418825067537808,0.34331544167302,0.496034453381842,0.945979261477549,0,0.262377062365053,0.29224470838282,0.398929904804253,0.630662661561312,0.241732078083393,1,0.355404961107816,0.593070367837498,0.651904526809953,0.534560687131338,0.644367513951279,0.546600820814313,0.425570202484799,0.706643386142888,0.650140790536422,0.541067756429037,0.353448077130599,1,0.438309785396788,0.395250599644884,0.532394649958669,0.712522250938415,0.746690531213137,0.697333140157812,0.0393011325143988,0.257327656445053,0.755767367730037,0.761426839524738,0.832427523383798,0.636248645650738,0.695312663966838,0.765247839941536,0.386017803755594,0.61051599996092,0.44188804817142,0.252549237656042,0.347674943667311,0.38135756475846,0.460534583900352,0.288985614204353,0.934608530091778,0.384872745211113,0
"Effector memeory CD8 T cell",0.282133917264949,0.772376787131235,0.488865657431387,0.417245662239261,0.299962828169788,0.573334273109001,0.615571347329932,0.619705105458955,0.51854246487603,0.577111868921368,0.272625928460379,0.966508181436358,0.184402504744554,0.320633647347591,1,0,0.406376563882359,0.61855158756349,0.478413955037812,0.635131957844332,0.157615452319328,0.423226503302717,0.396050437713624,0.501353451615669,0.436337517644375,0.589006957294921,0.603279443647303,0.811965726962115,0.256089097038269,0.355263894577371,0.485905559348864,0.464918927225799,0.262065332922352,0.636130919829372,0.529315751151609,0.567794502376993,0.496111231198827,0.137173487169841,0.584359779339227,0.723641998999482,0.744131650567845,0.0942037029386556,0.44197991875927,0.607993540904095,0.683291711741161,0.520939086312888,0.877339735201906,0.272175941431107,0.954906336274275,0.22760520822995,0.696743556765704,0.586294085795011,0.329670926103611,0.699068966691765,0.733625794214199,0.69731371968975,0.548475057324105,0.945096660252808,0.231161408069426,0.474269728366472,0.318844203821716,0.614343429748831,0.862330070091855,0.635050704904402,0.376028766747453,0.36885767536733,0.314541439857531,0.756193239367027,0.581620558207572,0.644457777294681,0.00695014662966931,0
"Gamma delta T cell",0.357068190662548,0.327726104917798,0.384424710344157,0.545724616079363,0.464694291980557,0.34850256036337,0.263087654232269,0.590489603602142,0.365304825600194,0.640700925714235,0.393497180040112,0.461154664779833,0.712479326212995,0.31725086531764,0.496638121446601,0,0.476537252400294,0.559021140269659,0.196128495998297,0.339435792027658,0.0943689383650332,0.464119478114763,0.371742579731898,0.324484348158977,0.447417793314499,0.479134896450117,0.781559879805387,0.561173894244637,0.348268096353814,0.535012306624086,0.320305737407575,0.289184589175714,0.804035122017365,0.515133695037011,0.551837755943407,0.227409925982481,0.601693140344236,0.271923633209149,0.583196220809116,1,0.648999500078163,0.116729069370515,0.507532940657591,0.914804686090071,0.560123661880107,0.357683426656931,0.784676686178241,0.264978123810659,0.367727375872082,0.31941948760105,0.879197589825804,0.62060694265333,0.843193826857811,0.595371998578389,0.639563102997741,1,0.602257476643153,0.508442676956914,0.424949433759469,0.257173950765445,0,0.829818367123566,0.833313577240401,0.817311821308093,0.500292083778351,0.657660705403021,0.544623835259526,0.758444226121792,0.956815692328241,0.924585681036291,0.301023563114552,0
